Date,COINS Portfolio Value,COINS Portfolio % Daily Change,COINS Portfolio % Change YTD,BCOM Price Per Share,BCOM Price Per Share % Change,BCOM Price % Change YTD,BCOM  Value Compared,Spread: COINS - BCOM Portfolio Value
3/9/2023,"$1,218,856.79",-0.71%,2.86%,$104.20,-0.81%,-5.55%,"$1,119,231.67","$99,625.12"
3/10/2023,"$1,227,017.67",0.67%,3.55%,$104.55,0.34%,-5.23%,"$1,122,991.08","$104,026.59"
3/13/2023,"$1,237,784.40",0.88%,4.46%,$105.13,0.55%,-4.70%,"$1,129,220.97","$108,563.43"
3/14/2023,"$1,226,580.32",-0.91%,3.51%,$104.21,-0.88%,-5.54%,"$1,119,339.08","$107,241.24"
3/15/2023,"$1,222,412.55",-0.34%,3.16%,$102.15,-1.98%,-7.41%,"$1,097,212.23","$125,200.32"
3/16/2023,"$1,212,017.78",-0.85%,2.28%,$102.76,0.60%,-6.85%,"$1,103,764.36","$108,253.42"
3/17/2023,"$1,210,843.06",-0.10%,2.18%,$102.59,-0.17%,-7.01%,"$1,101,938.36","$108,904.70"
3/20/2023,"$1,211,147.67",0.03%,2.21%,$102.57,-0.02%,-7.03%,"$1,101,723.53","$109,424.14"
3/21/2023,"$1,212,189.76",0.09%,2.30%,$102.71,0.14%,-6.90%,"$1,103,227.30","$108,962.46"
3/22/2023,"$1,213,430.15",0.10%,2.40%,$102.57,-0.14%,-7.03%,"$1,101,723.53","$111,706.62"
3/23/2023,"$1,210,661.62",-0.23%,2.17%,$102.55,-0.02%,-7.04%,"$1,101,508.71","$109,152.91"
3/24/2023,"$1,215,068.23",0.36%,2.54%,$103.02,0.46%,-6.62%,"$1,106,557.07","$108,511.16"
3/27/2023,"$1,225,770.85",0.88%,3.44%,$103.75,0.71%,-5.96%,"$1,114,398.13","$111,372.72"
3/28/2023,"$1,230,149.30",0.36%,3.81%,$104.36,0.59%,-5.40%,"$1,120,950.26","$109,199.04"
3/29/2023,"$1,226,701.14",-0.28%,3.52%,$104.16,-0.19%,-5.58%,"$1,118,802.02","$107,899.12"
3/30/2023,"$1,233,372.23",0.54%,4.08%,$104.39,0.22%,-5.38%,"$1,121,272.49","$112,099.74"
3/31/2023,"$1,240,745.54",0.60%,4.71%,$105.51,1.07%,-4.36%,"$1,133,302.62","$107,442.92"
4/4/2023,"$1,257,723.16",1.37%,6.14%,$106.52,0.96%,-3.44%,"$1,144,151.22","$113,571.94"
4/5/2023,"$1,261,889.77",0.33%,6.49%,$106.63,0.10%,-3.34%,"$1,145,332.75","$116,557.02"
4/6/2023,"$1,258,421.89",-0.27%,6.20%,$106.24,-0.37%,-3.70%,"$1,141,143.69","$117,278.20"
4/7/2023,"$1,258,421.89",0.00%,6.20%,$106.25,0.01%,-3.69%,"$1,141,251.10","$117,170.79"
4/10/2023,"$1,260,518.95",0.17%,6.38%,$106.25,0.00%,-3.69%,"$1,141,251.10","$119,267.85"
4/11/2023,"$1,271,539.42",0.87%,7.31%,$107.14,0.84%,-2.88%,"$1,150,810.76","$120,728.66"
4/12/2023,"$1,274,098.31",0.20%,7.52%,$107.62,0.45%,-2.45%,"$1,155,966.53","$118,131.78"
4/13/2023,"$1,275,327.94",0.10%,7.63%,$107.72,0.09%,-2.36%,"$1,157,040.64","$118,287.30"
4/14/2023,"$1,274,012.34",-0.10%,7.51%,$107.82,0.09%,-2.27%,"$1,158,114.76","$115,897.58"
